Kunde;Lieferdatum;Jahr;Eingang;Ausgang;Total an Lager ESG;Preis pro Büchlein;Betrag in SFr.;Lieferungsart;Rechnungsart
Gallus Apotheke;2016-01-06;2016;;2;;;164.6;abgeholt;Rechnung
Bäckerei Schwyter Riethüsli;2016-01-13;2016;;3;;;246.89999999999998;gebracht;Rechnung
CareLand Apotheke;2016-02-08;2016;;6;;;493.79999999999995;gebracht;Rechnung
Falken-Drogerie;2016-02-08;2016;;10;;;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-02-12;2016;;20;;;1646.0;gebracht;Rechnung
Stern-Apotheke;2016-03-08;2016;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2016-03-09;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-03-23;2016;;2;;;164.6;abgeholt;Rechnung
Langgass-Drogerie;2016-04-01;2016;;10;;;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-04-06;2016;;3;;;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2016-04-12;2016;;30;;;2469.0;abgeholt;Rechnung
Falken-Drogerie;2016-04-18;2016;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2016-05-03;2016;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2016-05-24;2016;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2016-05-25;2016;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2016-06-03;2016;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2016-06-16;2016;;3;;;246.89999999999998;gebracht;Rechnung
Alpstein Drogerie;2016-06-29;2016;;30;;;2469.0;gebracht;Rechnung
Drogerie Lachen;2016-07-11;2016;;20;;;1646.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2016-07-14;2016;;30;;;2469.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-07-21;2016;;20;;;1646.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-07-21;2016;;2;;;164.6;abgeholt;Rechnung
Kiosk Migros Bach;2016-07-22;2016;;5;;;411.5;gebracht;Rechnung
Falken-Drogerie;2016-07-26;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-07-27;2016;;2;;;164.6;abgeholt;Rechnung
Gallus Apotheke;2016-07-29;2016;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2016-08-02;2016;;30;;;2469.0;abgeholt;Rechnung
Maxi Markt;2016-08-03;2016;;10;;;823.0;gebracht;Rechnung
Lebensmittel Hagenbuch 26;2016-08-08;2016;;5;;;411.5;gebracht;Rechnung
Löwen-Apotheke;2016-08-19;2016;;2;;;164.6;gebracht;Rechnung
Kiosk Migros Bach;2016-08-23;2016;;6;;;493.79999999999995;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-08-25;2016;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2016-08-29;2016;;2;;;164.6;gebracht;Rechnung
Bäckerei Frei;2016-09-06;2016;;4;;;329.2;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2016-09-07;2016;;30;;;2469.0;abgeholt;Rechnung
Amavita Apotheke Poststrasse;2016-09-15;2016;;6;;;493.79999999999995;abgeholt;Rechnung
Falken-Drogerie;2016-09-30;2016;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2016-10-13;2016;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Migros Bach;2016-10-18;2016;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2016-10-20;2016;;10;;;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2016-10-31;2016;;10;;;823.0;gebracht;Rechnung
Bäckerei Gschwend;2016-11-15;2016;;4;;;329.2;gebracht;Rechnung
Langgass-Drogerie;2016-11-17;2016;;10;;;823.0;gebracht;Rechnung
Bruggen Apotheke;2016-11-23;2016;;40;;;3292.0;gebracht;Rechnung
Denner Satellit;2016-11-30;2016;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2016-12-01;2016;;30;;;2469.0;abgeholt;Rechnung
St.Fiden-Apotheke;2016-12-13;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-12-13;2016;;1;;;82.3;abgeholt;Rechnung
Bäckerei Schwyter Riethüsli;2017-01-04;2017;;3;;;246.89999999999998;gebracht;Rechnung
VBSG-Verkaufsstelle;2017-01-10;2017;;30;;;2469.0;gebracht;Rechnung
Kiosk Neudorf;2017-01-12;2017;;10;;;823.0;gebracht;Rechnung
Lebensmittel Tschanz;2017-01-16;2017;;5;;;411.5;abgeholt;Rechnung
Apotheke an der Langgasse;2017-01-18;2017;;2;;;164.6;gebracht;Rechnung
Kiosk Silberturm;2017-01-19;2017;;5;;;411.5;gebracht;Rechnung
Kiosk Silberturm;2017-02-10;2017;;7;;;576.1;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2017-02-28;2017;;5;;;411.5;gebracht;Rechnung
Maxi Markt;2017-03-16;2017;;5;;;411.5;gebracht;Rechnung
Sanitär Wirth AG (Endverbraucher);2017-03-17;2017;;10;;;823.0;gebracht;Rechnung
Alpstein Drogerie;2017-03-17;2017;;30;;;2469.0;gebracht;Rechnung
Spar Markt Wolfganghof;2017-03-22;2017;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2017-04-20;2017;;30;;;2469.0;abgeholt;Rechnung
Bruggen Apotheke;2017-04-27;2017;;40;;;3292.0;gebracht;Rechnung
Denner Satellit;2017-05-05;2017;;5;;;411.5;gebracht;Rechnung
Drogerie Lachen;2017-05-09;2017;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2017-05-10;2017;;3;;;246.89999999999998;gebracht;Rechnung
Apotheke an der Langgasse;2017-05-16;2017;;2;;;164.6;abgeholt;Rechnung
Kiosk Neudorf;2017-05-24;2017;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2017-06-06;2017;;5;;;411.5;gebracht;Rechnung
Drogerie Lachen;2017-06-19;2017;;20;;;1646.0;gebracht;Rechnung
Löwen-Apotheke;2017-07-06;2017;;3;;;246.89999999999998;gebracht;Rechnung
Kloster-Drogerie;2017-08-02;2017;;5;;;411.5;gebracht;Rechnung
Löwen-Apotheke;2017-08-07;2017;;4;;;329.2;gebracht;Rechnung
Maxi Markt;2017-08-08;2017;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2017-08-16;2017;;4;;;329.2;gebracht;Rechnung
St.Jakob-Apotheke;2017-08-24;2017;;10;;;823.0;gebracht;Rechnung
St.Fiden-Apotheke;2017-08-28;2017;;10;;;823.0;gebracht;Rechnung
CareLand Apotheke;2017-08-29;2017;;5;;;411.5;gebracht;Rechnung
Stern-Apotheke;2017-08-30;2017;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2017-09-15;2017;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2017-09-27;2017;;20;;;1646.0;gebracht;Rechnung
Gallus Apotheke;2017-10-17;2017;;2;;;164.6;abgeholt;Rechnung
Maxi Markt;2017-10-24;2017;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2017-10-30;2017;;3;;;246.89999999999998;abgeholt;Rechnung
Kloster-Drogerie;2017-11-21;2017;;5;;;411.5;gebracht;Rechnung
Falken-Drogerie;2017-11-27;2017;;10;;;823.0;gebracht;Rechnung
Kiosk Neudorf;2017-11-30;2017;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2017-12-01;2017;;5;;;411.5;gebracht;Rechnung
St.Fiden-Apotheke;2018-01-05;2018;;15;;;1234.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2018-01-08;2018;;20;;;1646.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2018-01-08;2018;;30;;;2469.0;gebracht;Rechnung
Apotheke an der Langgasse;2018-01-23;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Drogerie Lachen;2018-02-19;2018;;20;;;1646.0;gebracht;Rechnung
St.Fiden-Apotheke;2018-03-05;2018;;20;;;1646.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2018-03-13;2018;;30;;;2469.0;gebracht;Rechnung
Bäckerei Gschwend;2018-03-13;2018;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Silberturm;2018-03-21;2018;;10;;;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2018-03-27;2018;;10;;;823.0;gebracht;Rechnung
Denner Satellit;2018-04-11;2018;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2018-04-12;2018;;10;;;823.0;gebracht;Rechnung
Lebensmittel Hagenbuch 26;2018-05-08;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Migros Bach;2018-05-15;2018;;5;;;411.5;gebracht;Rechnung
Bäckerei Wernli;2018-05-18;2018;;2;;;164.6;gebracht;Rechnung
Kiosk Migros Bach;2018-05-31;2018;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2018-06-05;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2018-06-11;2018;;30;;;2469.0;abgeholt;Rechnung
Falken-Drogerie;2018-06-15;2018;;10;;;823.0;gebracht;Rechnung
Spar Markt Wolfganghof;2018-06-21;2018;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2018-07-05;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Falken-Drogerie;2018-07-13;2018;;10;;;823.0;gebracht;Rechnung
Bäckerei Gschwend;2018-08-21;2018;;4;;;329.2;gebracht;Rechnung
Amavita Apotheke Poststrasse;2018-08-30;2018;;6;;;493.79999999999995;abgeholt;Rechnung
Amavita Apotheke Gallusmarkt;2018-09-07;2018;;20;;;1646.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2018-09-11;2018;;30;;;2469.0;abgeholt;Rechnung
Löwen-Apotheke;2018-09-18;2018;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2018-09-21;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Migros Bach;2018-09-28;2018;;10;;;823.0;gebracht;Rechnung
Kiosk Neudorf;2018-10-04;2018;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2018-10-12;2018;;4;;;329.2;gebracht;Rechnung
Bäckerei Wernli;2018-10-18;2018;;3;;;246.89999999999998;gebracht;Rechnung
Apotheke an der Langgasse;2018-10-23;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Amavita Apotheke Gallusmarkt;2018-10-30;2018;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2018-11-06;2018;;4;;;329.2;gebracht;Rechnung
VBSG-Verkaufsstelle;2018-11-06;2018;;30;;;2469.0;gebracht;Rechnung
Kiosk Migros Bach;2018-11-29;2018;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2018-11-30;2018;;10;;;823.0;gebracht;Rechnung
Bruggen Apotheke;2018-12-13;2018;;40;;;3292.0;gebracht;Rechnung
Bäckerei Gschwend;2018-12-14;2018;;4;;;329.2;gebracht;Rechnung
Kiosk Migros Bach;2019-01-04;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-01-11;2019;;30;;;2469.0;abgeholt;Rechnung
Falken-Drogerie;2019-01-17;2019;;10;;;823.0;gebracht;Rechnung
CareLand Apotheke;2019-02-13;2019;;5;;;411.5;gebracht;Rechnung
Maxi Markt;2019-02-19;2019;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2019-02-19;2019;;2;;;164.6;gebracht;Rechnung
Langgass-Drogerie;2019-02-20;2019;;10;;;823.0;gebracht;Rechnung
Agrola Shop Riethüsli;2019-02-20;2019;;5;;;411.5;gebracht;Rechnung
Kiosk Silberturm;2019-02-22;2019;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2019-02-26;2019;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2019-03-01;2019;;3;;;246.89999999999998;gebracht;Rechnung
Claro Weltladen;2019-03-26;2019;;1;;;82.3;gebracht;Rechnung
Bäckerei Frei;2019-04-04;2019;;4;;;329.2;gebracht;Rechnung
Kiosk Neudorf;2019-04-05;2019;;10;;;823.0;gebracht;Rechnung
Drogerie Lachen;2019-04-08;2019;;20;;;1646.0;gebracht;Rechnung
Spar Markt Wolfganghof;2019-04-10;2019;;10;;;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2019-04-15;2019;;30;;;2469.0;gebracht;Rechnung
Maxi Markt;2019-04-24;2019;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2019-05-07;2019;;30;;;2469.0;gebracht;Rechnung
Apotheke an der Langgasse;2019-05-23;2019;;4;;;329.2;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2019-05-27;2019;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Migros Bach;2019-06-07;2019;;10;;;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2019-07-11;2019;;4;;;329.2;gebracht;Rechnung
Kundencenter sgsw;2019-07-12;2019;;20;;;1646.0;gebracht;Rechnung
Spar Markt Wolfganghof;2019-07-12;2019;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2019-07-12;2019;;3;;;246.89999999999998;gebracht;Rechnung
Agrola Shop Riethüsli;2019-07-31;2019;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2019-08-05;2019;;10;;;823.0;gebracht;Rechnung
Bäckerei Gschwend;2019-08-05;2019;;4;;;329.2;gebracht;Rechnung
Müller, lebe deinen Genuss;2019-08-07;2019;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2019-08-27;2019;;10;;;823.0;gebracht;Rechnung
Winkeln Supermarkt & Take Away;2019-09-04;2019;;2;;;164.6;gebracht;Rechnung
Langgass-Drogerie;2019-09-05;2019;;10;;;823.0;gebracht;Rechnung
Kiosk Neudorf;2019-09-05;2019;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2019-09-13;2019;;5;;;411.5;gebracht;Rechnung
Bruggen Apotheke;2019-09-16;2019;;40;;;3292.0;gebracht;Rechnung
Falken-Drogerie;2019-09-18;2019;;10;;;823.0;gebracht;Rechnung
Drogerie Lachen;2019-10-31;2019;;20;;;1646.0;abgeholt;Rechnung
Falken-Drogerie;2019-11-19;2019;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2019-11-19;2019;;3;;;246.89999999999998;abgeholt;Rechnung
Winkeln Supermarkt & Take Away;2019-11-20;2019;;2;;;164.6;gebracht;Rechnung
Maxi Markt;2019-11-29;2019;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2019-12-03;2019;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2020-01-22;2020;;5;1036;82.3;411.5;gebracht;Rechnung
St.Fiden-Apotheke;2020-01-29;2020;;20;1014;82.3;1646.0;gebracht;Rechnung
Löwen-Apotheke;2020-02-12;2020;;3;914;82.3;246.89999999999998;gebracht;Rechnung
Bäckerei Gschwend;2020-02-19;2020;;5;890;82.3;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2020-02-20;2020;;2;888;82.3;164.6;abgeholt;Rechnung
Kiosk Silberturm;2020-02-27;2020;;10;780;82.3;823.0;gebracht;Rechnung
Maxi Markt;2020-03-16;2020;;5;690;82.3;411.5;gebracht;Rechnung
Langgass-Drogerie;2020-04-02;2020;;10;621;82.3;823.0;gebracht;Rechnung
Drogerie Lachen;2020-04-24;2020;;20;471;82.3;1646.0;gebracht;Rechnung
St.Jakob-Apotheke;2020-04-22;2020;;10;456;82.3;823.0;gebracht;Rechnung
Gallus Apotheke;2020-04-22;2020;;2;452;82.3;164.6;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-04-30;2020;;2;418;82.3;164.6;gebracht;Rechnung
Löwen-Apotheke;2020-05-07;2020;;3;415;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Silberturm;2020-05-07;2020;;10;385;82.3;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2020-06-18;2020;;5;1030;82.3;411.5;gebracht;Rechnung
Metzgerei Signer;2020-06-22;2020;;3;1017;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Migros Bach;2020-07-01;2020;;10;886;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2020-07-28;2020;;20;651;82.3;1646.0;gebracht;Rechnung
Gallus Apotheke;2020-07-28;2020;;2;649;82.3;164.6;gebracht;Rechnung
St.Fiden-Apotheke;2020-07-30;2020;;30;607;82.3;2469.0;gebracht;Rechnung
Kiosk Langgasse 20;2020-07-31;2020;;2;605;82.3;164.6;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-08-04;2020;;2;573;82.3;164.6;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2020-08-21;2020;;10;532;82.3;823.0;gebracht;Rechnung
Bäckerei Gschwend;2020-08-25;2020;;7;522;82.3;576.1;gebracht;Rechnung
Agrola Shop Riethüsli;2020-08-26;2020;;4;518;82.3;329.2;gebracht;Rechnung
St.Jakob-Apotheke;2020-08-26;2020;;10;505;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2020-09-02;2020;;30;455;82.3;2469.0;gebracht;Rechnung
Maxi Markt;2020-09-03;2020;;5;450;82.3;411.5;gebracht;Rechnung
Metzgerei Signer;2020-09-03;2020;;3;444;82.3;246.89999999999998;gebracht;Rechnung
Falken-Drogerie;2020-09-08;2020;;10;412;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2020-09-10;2020;;3;407;82.3;246.89999999999998;gebracht;Rechnung
Stern-Apotheke;2020-09-17;2020;;10;312;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2020-09-25;2020;;10;274;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2020-10-15;2020;;30;179;82.3;2469.0;gebracht;Rechnung
Eingang Marken an Lager ESG;2020-10-15;2020;500;;679;82.3;0.0;;
Kiosk Neudorf;2020-10-22;2020;;10;634;82.3;823.0;gebracht;Rechnung
Agrola Shop Riethüsli;2020-11-24;2020;;4;479;82.3;329.2;gebracht;Rechnung
Amavita Apotheke Poststrasse;2020-12-21;2020;;3;266;82.3;246.89999999999998;abgeholt;Rechnung
Apotheke an der Langgasse;2021-01-27;2021;;2;788;82.3;164.6;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2021-02-04;2021;;3;755;82.3;246.89999999999998;gebracht;Rechnung
Stern-Apotheke;2021-02-10;2021;;3;738;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Langgasse 20;2021-02-12;2021;;2;736;82.3;164.6;gebracht;Rechnung
Maxi Markt;2021-02-15;2021;;5;731;82.3;411.5;gebracht;Rechnung
Maxi Markt;2021-02-24;2021;;5;692;82.3;411.5;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2021-02-24;2021;;30;652;82.3;2469.0;gebracht;Rechnung
Löwen-Apotheke;2021-03-11;2021;;3;572;82.3;246.89999999999998;gebracht;Rechnung
Maxi Markt;2021-03-16;2021;;5;564;82.3;411.5;gebracht;Rechnung
Bruggen Apotheke;2021-03-18;2021;;25;509;82.3;2057.5;gebracht;Rechnung
Kiosk Langgasse 20;2021-03-31;2021;;3;440;82.3;246.89999999999998;gebracht;Rechnung
Kloster-Drogerie;2021-04-14;2021;;5;387;82.3;411.5;gebracht;Rechnung
Eingang Marken an Lager ESG;2021-05-04;2021;750;;966;82.3;0.0;;
VBSG-Verkaufsstelle;2021-05-06;2021;;50;853;82.3;4115.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2021-05-18;2021;;7;826;82.3;576.1;gebracht;Rechnung
Lachen Drogerie;2021-05-31;2021;;20;776;82.3;1646.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2021-06-02;2021;;30;746;82.3;2469.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2021-06-15;2021;;4;726;82.3;329.2;gebracht;Rechnung
Bäckerei Schwyter Schoren;2021-06-22;2021;;3;660;82.3;246.89999999999998;gebracht;Rechnung
Kloster-Drogerie;2021-06-25;2021;;10;646;82.3;823.0;gebracht;Rechnung
Gallus Apotheke;2021-06-30;2021;;2;644;82.3;164.6;gebracht;Rechnung
Medbase Apotheke Silberturm;2021-07-05;2021;;30;584;82.3;2469.0;gebracht;Rechnung
Kiosk Langgasse 20;2021-07-13;2021;;3;527;82.3;246.89999999999998;gebracht;Rechnung
Gallus Apotheke;2021-07-28;2021;;3;403;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Neudorf;2021-07-28;2021;;10;393;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2021-08-10;2021;;10;370;82.3;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2021-08-23;2021;;5;237;82.3;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2021-08-25;2021;;30;207;82.3;2469.0;gebracht;Rechnung
Eingang Marken an Lager ESG;2021-08-30;2021;750;;957;82.3;0.0;;
Bäckerei Schwyter Riethüsli;2021-09-06;2021;;6;913;82.3;493.79999999999995;gebracht;Rechnung
Alpstein Drogerie;2021-09-10;2021;;30;863;82.3;2469.0;gebracht;Rechnung
Kiosk Silberturm;2021-09-17;2021;;10;838;82.3;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2021-09-22;2021;;10;828;82.3;823.0;gebracht;Rechnung
Kiosk Langgasse 20;2021-09-23;2021;;3;825;82.3;246.89999999999998;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2021-09-28;2021;;7;818;82.3;576.1;gebracht;Rechnung
Müller, lebe deinen Genuss;2021-10-05;2021;;10;763;82.3;823.0;gebracht;Rechnung
Metzgerei Signer;2021-10-06;2021;;4;729;82.3;329.2;gebracht;Rechnung
Spar Markt Wolfganghof;2021-11-11;2021;;10;554;82.3;823.0;gebracht;Rechnung
Kiosk Neudorf;2021-11-18;2021;;10;529;82.3;823.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2021-11-23;2021;;5;514;82.3;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2021-11-26;2021;;3;501;82.3;246.89999999999998;gebracht;Rechnung
Apotheke an der Langgasse;2021-11-29;2021;;10;489;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2021-12-20;2021;;20;355;82.3;1646.0;abgeholt;Rechnung
Eingang Marken an Lager ESG;2022-01-04;2022;750;;1085;82.3;0.0;;
Stern-Apotheke;2022-01-06;2022;;5;1035;82.3;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2022-01-17;2022;;4;997;82.3;329.2;gebracht;Rechnung
Müller, lebe deinen Genuss;2022-01-25;2022;;10;949;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2022-02-04;2022;;10;866;82.3;823.0;gebracht;Rechnung
Metzgerei Signer;2022-02-07;2022;;4;862;82.3;329.2;gebracht;Rechnung
St.Jakob-Apotheke;2022-02-14;2022;;10;812;82.3;823.0;gebracht;Rechnung
Medbase Apotheke Silberturm;2022-02-25;2022;;30;717;82.3;2469.0;gebracht;Rechnung
Lachen Drogerie;2022-02-28;2022;;20;697;82.3;1646.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2022-03-09;2022;;30;617;82.3;2469.0;gebracht;Rechnung
Apotheke an der Langgasse;2022-04-06;2022;;10;488;82.3;823.0;gebracht;Rechnung
Spar Markt Wolfganghof;2022-04-26;2022;;10;399;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2022-04-27;2022;;10;373;82.3;823.0;gebracht;Rechnung
Eingang Marken an Lager ESG;2022-05-17;2022;750;;1011;82.3;0.0;;
Bäckerei Schwyter Riethüsli;2022-05-31;2022;;3;959;82.3;246.89999999999998;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2022-06-03;2022;;7;952;82.3;576.1;gebracht;Rechnung
Kloster-Drogerie;2022-06-10;2022;;10;887;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2022-06-28;2022;;4;748;82.3;329.2;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2022-07-19;2022;;4;609;82.3;329.2;gebracht;Rechnung
Kiosk Migros Bach;2022-07-20;2022;;10;594;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2022-07-28;2022;;4;557;82.3;329.2;abgeholt;Rechnung
Falken-Drogerie;2022-08-31;2022;;10;417;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2022-09-08;2022;;10;357;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2022-09-19;2022;;10;322;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2022-09-19;2022;;10;312;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2022-10-17;2022;;10;894;82.3;823.0;gebracht;Rechnung
Medbase Apotheke Silberturm;2022-10-21;2022;;30;854;82.3;2469.0;gebracht;Rechnung
Metzgerei Signer;2022-10-27;2022;;4;830;82.3;329.2;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2022-10-31;2022;;6;819;82.3;493.79999999999995;gebracht;Rechnung
Falken-Drogerie;2022-12-01;2022;;10;662;82.3;823.0;gebracht;Rechnung
Velo Stern;2022-12-02;2022;;2;650;82.3;164.6;gebracht;Rechnung
Kiosk Migros Bach;2022-12-08;2022;;10;640;82.3;823.0;gebracht;Rechnung
Bruggen Apotheke;2023-01-03;2023;;40;525;82.3;3292.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-01-11;2016;;20;;;1646.0;gebracht;Rechnung
Drogerie Lachen;2016-01-26;2016;;20;;;1646.0;gebracht;Rechnung
Löwen-Apotheke;2016-02-01;2016;;2;;;164.6;gebracht;Rechnung
Bäckerei Gschwend;2016-02-02;2016;;3;;;246.89999999999998;gebracht;Rechnung
Langgass-Drogerie;2016-02-05;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-02-05;2016;;2;;;164.6;gebracht;Rechnung
Langgass-Drogerie;2016-03-03;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-03-03;2016;;2;;;164.6;abgeholt;Rechnung
Drogerie Lachen;2016-03-08;2016;;20;;;1646.0;gebracht;Rechnung
Maxi Markt;2016-03-23;2016;;5;;;411.5;gebracht;Rechnung
Löwen-Apotheke;2016-03-31;2016;;2;;;164.6;gebracht;Rechnung
Kiosk Neudorf;2016-04-27;2016;;10;;;823.0;gebracht;Rechnung
Lebensmittel Tschanz;2016-04-28;2016;;10;;;823.0;gebracht;Rechnung
Bäckerei Frei;2016-05-17;2016;;4;;;329.2;gebracht;Rechnung
Kiosk Neudorf;2016-05-20;2016;;10;;;823.0;gebracht;Rechnung
Stern-Apotheke;2016-05-20;2016;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2016-05-27;2016;;3;;;246.89999999999998;gebracht;Rechnung
Kiosk Silberturm;2016-06-15;2016;;10;;;823.0;gebracht;Rechnung
Gallus Apotheke;2016-07-01;2016;;2;;;164.6;abgeholt;Rechnung
St.Jakob-Apotheke;2016-07-11;2016;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-08-10;2016;;2;;;164.6;abgeholt;Rechnung
Bäckerei Gschwend;2016-08-16;2016;;4;;;329.2;gebracht;Rechnung
Kiosk Neudorf;2016-08-22;2016;;10;;;823.0;gebracht;Rechnung
